Source,Target,Weight,Type
1701,257,0.6923036173073438,undirected
1701,65,0.6904186219636554,undirected
257,58,0.6923036173073438,undirected
257,1076,0.6923036173073438,undirected
257,1166,0.6969554259610157,undirected
754,146,0.7779509681812142,undirected
754,1913,0.6993860775783676,undirected
754,425,0.7779509681812142,undirected
754,910,0.6975788213569933,undirected
146,425,0.8729019363624284,undirected
910,205,0.6975788213569933,undirected
910,571,0.6975788213569933,undirected
948,1251,0.6900732649158872,undirected
1251,500,0.6900732649158872,undirected
1251,1200,0.6934997903825785,undirected
991,207,0.6903367243294563,undirected
207,1287,0.6903367243294563,undirected
118,1854,0.8563333333333334,undirected
118,563,0.8563333333333334,undirected
1854,1557,0.6943744862772826,undirected
1854,793,0.693017282002232,undirected
1220,1092,1.2273156693492226,undirected
1092,1436,0.6947286855059283,undirected
1092,1836,0.6912169257449254,undirected
1436,1325,0.74007912872329,undirected
1436,2012,0.7495359388936866,undirected
1836,624,0.6912169257449254,undirected
1836,607,0.813,undirected
874,86,0.7036862611777763,undirected
624,415,0.6912169257449254,undirected
624,255,0.6932755689879722,undirected
255,473,0.9581495156744879,undirected
2154,1088,0.6905518290772777,undirected
1784,1395,0.7041694825803826,undirected
409,1848,0.6913505225738432,undirected
409,70,0.6913505225738432,undirected
1547,461,0.8078069031608888,undirected
461,40,0.690856451207288,undirected
1801,1100,0.8563333333333334,undirected
1801,1040,0.6971761417118636,undirected
1801,1454,0.6921557668402797,undirected
1454,1646,0.7223242386843742,undirected
1098,1589,0.6936605922883428,undirected
1517,1498,0.8365295748593793,undirected
1517,1157,0.698431104170828,undirected
1157,679,0.800147061888292,undirected
1676,537,0.6961439483529246,undirected
537,814,0.6961439483529246,undirected
596,214,0.698431104170828,undirected
321,1518,0.7061345067187976,undirected
321,111,0.7061345067187976,undirected
1321,566,0.7368757252979381,undirected
1321,79,0.7263333333333333,undirected
1321,801,0.7205396001596487,undirected
79,1821,0.6914686599315429,undirected
2006,2019,0.6905518290772777,undirected
2006,615,0.6900352307199742,undirected
2006,1746,0.7041694825803826,undirected
2019,2180,0.6958956346207998,undirected
1746,2250,0.7007991594737699,undirected
1746,856,0.7007991594737699,undirected
413,43,0.813,undirected
1890,433,0.727093170298706,undirected
433,426,0.771186340597412,undirected
2176,1375,0.9430000000000001,undirected
2176,1196,0.69050676677514,undirected
1196,1878,0.69050676677514,undirected
40,1943,0.698712902414576,undirected
560,2234,0.7141291367826001,undirected
2234,12,0.691015918495699,undirected
2234,2260,0.6985645683913001,undirected
2234,271,0.691015918495699,undirected
2234,1230,0.691015918495699,undirected
2234,1197,0.6985645683913001,undirected
2234,1486,0.6985645683913001,undirected
2234,1947,0.6985645683913001,undirected
12,2070,0.7114899012084304,undirected
750,872,0.7042946988081193,undirected
1977,723,0.6941487028773912,undirected
1977,1571,0.6904525422752066,undirected
723,848,0.6941487028773912,undirected
1571,1600,0.6904525422752066,undirected
1571,1878,0.6904525422752066,undirected
1571,441,0.6904525422752066,undirected
1571,1821,0.6914686599315429,undirected
1571,1045,0.6904525422752066,undirected
1571,302,0.6904525422752066,undirected
233,849,0.7997055006666927,undirected
849,677,0.6928768401538583,undirected
849,402,0.6978233372299072,undirected
849,2132,0.7180164444203865,undirected
1643,289,0.6993860775783676,undirected
886,1944,0.6906068620861592,undirected
1944,1581,0.6906068620861592,undirected
1944,1692,0.6914126440826257,undirected
2180,1904,0.6958956346207998,undirected
2180,921,0.6958956346207998,undirected
76,471,0.7374299311076318,undirected
471,1260,0.8668477631085023,undirected
1557,1195,0.7369829458999249,undirected
793,1527,0.693017282002232,undirected
1680,1865,0.6962142621555338,undirected
1680,679,0.693017282002232,undirected
1680,864,0.813,undirected
1680,1409,0.813,undirected
1680,722,0.813,undirected
864,722,0.7013512245860714,undirected
1245,1921,0.692823567785201,undirected
1245,688,0.7060631961666979,undirected
688,460,0.7060631961666979,undirected
828,949,0.6978233372299072,undirected
828,2161,0.6925259671288186,undirected
637,1619,0.6985645683913001,undirected
1822,745,0.7588462011471337,undirected
620,1341,0.7555056461033425,undirected
1206,972,0.7058331587014548,undirected
1206,2249,0.8737780188250228,undirected
972,104,0.792316533982983,undirected
972,2249,0.7448374824633686,undirected
1889,1155,0.6906068620861592,undirected
1505,1389,0.6949775721893234,undirected
1505,1734,0.7043910876886974,undirected
1734,1374,0.7495692439155,undirected
1734,2126,0.6948153085571018,undirected
1734,643,0.7043910876886974,undirected
1734,1718,0.8196425750826843,undirected
822,966,0.709385069377731,undirected
822,1146,0.6947252589215338,undirected
822,1637,0.6947252589215338,undirected
822,1276,0.7250413676770766,undirected
1146,1637,0.7064505178430678,undirected
1637,1232,0.6947252589215338,undirected
1179,1949,0.691015918495699,undirected
1949,1948,0.691015918495699,undirected
1949,2007,0.691015918495699,undirected
1949,2226,0.691015918495699,undirected
1949,1304,0.691015918495699,undirected
1995,500,0.7043910876886974,undirected
500,488,0.9753754561094761,undirected
500,1277,0.7039881471768827,undirected
836,906,0.7325757375546116,undirected
836,903,0.7328937542836522,undirected
906,903,0.7757791598244601,undirected
1573,1694,0.702647135570402,undirected
1573,201,0.692823567785201,undirected
1573,2287,0.6918498467499044,undirected
1527,164,0.7619395696958442,undirected
1161,958,0.7426052628083035,undirected
1539,250,0.7572857142857143,undirected
1240,734,0.7262073848615309,undirected
734,856,0.7262073848615309,undirected
2260,1552,0.6985645683913001,undirected
2260,1947,0.6985645683913001,undirected
1948,269,0.6901980400208909,undirected
269,571,0.6901980400208909,undirected
2126,49,0.6948153085571018,undirected
643,1785,0.6906682764866088,undirected
643,618,0.6906682764866088,undirected
643,1076,0.6906682764866088,undirected
643,1124,0.6906682764866088,undirected
643,1702,0.6906682764866088,undirected
643,2130,0.6906682764866088,undirected
643,1060,0.6906682764866088,undirected
643,821,0.6906682764866088,undirected
643,1610,0.6906682764866088,undirected
643,2200,0.6906682764866088,undirected
1845,1831,0.7237518018350317,undirected
1845,63,0.6923913436351894,undirected
1845,1925,0.8590302760116195,undirected
580,377,0.706443372354383,undirected
1987,954,0.7039206998641407,undirected
1987,488,0.813,undirected
488,668,0.8567383719986159,undirected
1277,1448,0.6989066254464944,undirected
78,944,0.6966154689098731,undirected
579,1983,0.6918498467499044,undirected
1983,1950,0.7008322099540663,undirected
1029,1349,0.7230636017557588,undirected
161,1904,0.6958956346207998,undirected
161,1148,0.6918498467499044,undirected
1904,1914,0.7429441892855504,undirected
1809,2110,0.696844155374329,undirected
912,1447,0.7371833868689515,undirected
284,564,0.7035511379759443,undirected
1366,1318,0.6995677022737208,undirected
767,1662,0.7223257908632812,undirected
1085,29,0.7696666666666667,undirected
29,2007,0.6929106057387251,undirected
29,1417,0.7438034203124126,undirected
1906,2022,0.7505669934411199,undirected
1596,1755,0.813,undirected
1596,1495,0.7878563355855663,undirected
1755,712,0.813,undirected
618,1342,0.7017327303243859,undirected
557,945,0.7002019114324842,undirected
1956,971,0.693017282002232,undirected
1025,976,0.6921271359040848,undirected
1509,1424,0.691015918495699,undirected
1509,2199,0.691015918495699,undirected
1509,973,0.691015918495699,undirected
1325,443,0.74007912872329,undirected
1325,1204,0.7149963309095999,undirected
1204,633,0.7225821582934824,undirected
857,368,0.7472568872008933,undirected
368,1002,0.7472568872008933,undirected
368,824,0.7472568872008933,undirected
2212,1086,0.8421324390381315,undirected
1086,1212,0.7041694825803826,undirected
1086,556,0.7253389651607653,undirected
712,881,0.7410055598252729,undirected
1308,584,0.7304846218151284,undirected
584,266,0.7304846218151284,undirected
584,1057,0.7304846218151284,undirected
1864,875,0.7016268511761687,undirected
875,1736,0.7016268511761687,undirected
414,974,0.6997784263416462,undirected
974,1164,0.6997784263416462,undirected
2171,251,0.7180164444203865,undirected
2227,674,0.6970092862403288,undirected
674,1,0.6970092862403288,undirected
674,1145,0.6970092862403288,undirected
674,2224,0.6970092862403288,undirected
1417,1316,0.7036115393179798,undirected
558,1018,0.7543250907723866,undirected
1018,266,0.7304846218151284,undirected
1018,1057,0.777969243630257,undirected
2093,142,0.6914686599315429,undirected
142,2267,0.6914686599315429,undirected
142,1827,0.6914686599315429,undirected
2044,796,0.7921931576575556,undirected
1166,763,0.6923036173073438,undirected
1448,2008,0.6989066254464944,undirected
2008,1614,0.6989066254464944,undirected
791,288,0.6975788213569933,undirected
288,2130,0.6975788213569933,undirected
1212,2063,0.7029889027402525,undirected
1837,512,1.3606557579069372,undirected
573,128,0.6962142621555338,undirected
242,271,0.7565272541782895,undirected
271,889,0.7302727272727272,undirected
1124,1821,0.6914686599315429,undirected
1821,728,3.5769240056510845,undirected
1821,824,0.6914686599315429,undirected
1821,1593,0.6914686599315429,undirected
1963,1968,0.698547401291149,undirected
1534,61,0.813,undirected
1534,1720,0.9430000000000001,undirected
61,1720,0.813,undirected
779,204,0.717531281648442,undirected
931,627,0.6949775721893234,undirected
1364,768,0.7230636017557588,undirected
768,2232,0.7730410567072479,undirected
893,309,0.713676240557694,undirected
1079,45,0.6999479888149038,undirected
493,364,0.6932788872919312,undirected
493,1185,0.6932788872919312,undirected
508,2236,0.7696666666666667,undirected
508,2085,0.7386394408246795,undirected
424,475,0.6971761417118636,undirected
475,1419,0.6903351482948804,undirected
94,1570,0.7735553000266182,undirected
995,1274,0.7703785144364836,undirected
1274,1285,0.7703785144364836,undirected
1818,2209,0.6910391134061735,undirected
290,2011,0.6949775721893234,undirected
1467,1849,0.698245412264406,undirected
1130,2196,0.7200443129791327,undirected
890,1457,0.7018454906778544,undirected
890,1825,0.6905518290772777,undirected
35,925,0.7151608154270519,undirected
1717,1936,0.9430000000000001,undirected
2293,1484,0.6952314445554463,undirected
350,1272,0.729389966132024,undirected
861,1159,0.6971548265241696,undirected
2168,1232,0.6947252589215338,undirected
1232,1181,0.6906567608133574,undirected
905,1442,0.7223257908632812,undirected
1442,926,0.7223257908632812,undirected
479,638,0.6947252589215338,undirected
10,2163,0.7045045819540645,undirected
1479,1173,0.6978233372299072,undirected
116,2119,0.7616685600127555,undirected
1345,1218,0.7276573568114173,undirected
